"","Isolate","level 1","level 2","level 3","level 4","level 5","level 6","level 7","level 8","level 9","level 10","level 11","level 12"
"1","1944|KM204119|USA.Hawaii",1,1,1,1,1,1,1,1,1,1,1,1
"34","1988|AY732437|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"35","1989|AY732388|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"36","1989|AY732410|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"37","1989|AY732433|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"38","1990|AY732441|Thailand",2,4,3,5,7,10,13,14,14,14,14,14
"39","1990|AY732442|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"40","1990|AY732448|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"41","1990|AY732466|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"42","1990|JN638337|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"43","1990|JN638342|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"44","1991|AY732382|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"45","1991|AY732413|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"46","1991|AY732414|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"47","1991|AY732436|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"48","1991|AY732477|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"49","1991|AY732478|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"50","1991|JQ317727|China",2,4,3,5,8,15,15,16,16,16,16,16
"51","1992|AY732395|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"52","1992|AY732402|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"53","1992|AY732405|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"54","1992|AY732412|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"55","1992|AY732471|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"56","1992|JN638338|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"57","1992|JN638343|Thailand",2,4,3,5,7,10,13,14,14,14,14,14
"58","1993|AY732399|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"59","1993|AY732415|Thailand",2,4,4,10,11,16,16,17,17,17,17,17
"60","1993|AY732424|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"61","1993|AY732461|Thailand",2,4,3,5,7,11,19,18,18,18,18,18
"62","1993|AY732463|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"63","1993|AY732465|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"64","1994|AB608788|China",1,1,2,3,5,7,8,9,9,9,9,9
"65","1994|AB608789|China",2,5,5,9,13,18,20,19,19,19,19,19
"66","1994|AY732393|Thailand",2,4,3,5,7,12,21,20,20,20,20,20
"67","1994|AY732427|Thailand",2,4,3,5,7,12,21,20,20,20,20,20
"68","1994|AY732431|Thailand",2,5,6,12,14,19,22,21,21,21,21,21
"69","1994|AY732456|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"70","1994|AY732468|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"71","1994|AY732475|Thailand",2,4,3,5,7,12,21,20,20,20,20,20
"72","1994|AY732480|Thailand",2,4,3,5,7,12,21,20,20,20,20,20
"73","1995|AY376738|China",2,5,5,8,9,14,14,15,15,15,15,15
"74","1995|AY732387|Thailand",2,5,6,12,14,19,22,21,21,21,21,21
"75","1995|AY732404|Thailand",2,4,3,5,7,13,24,23,22,22,22,22
"76","1995|AY732430|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"77","1995|AY732457|Thailand",2,4,4,10,11,16,16,17,17,17,17,17
"78","1995|AY732473|Thailand",2,4,4,10,11,16,16,17,17,17,17,17
"79","1995|JN638339|Thailand",2,4,4,10,11,17,25,24,23,23,23,23
"80","1995|JN638344|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"81","1996|AB003090|Laos",1,1,2,4,6,9,12,13,13,13,13,13
"82","1996|AY732422|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"83","1996|AY732423|Thailand",2,4,3,5,7,13,24,23,22,22,22,22
"84","1996|AY732455|Thailand",2,4,4,10,11,16,17,25,24,24,24,24
"85","1997|AY376737|China",2,5,5,8,10,21,26,26,25,25,25,25
"86","1997|AY732391|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"87","1997|AY732416|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"88","1997|AY732417|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"89","1997|AY732418|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"90","1997|AY732444|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"91","1997|AY732450|Thailand",2,4,4,10,11,16,17,25,24,24,24,24
"92","1997|AY732453|Thailand",2,4,4,10,11,16,18,27,26,26,26,26
"93","1997|AY732459|Thailand",2,4,4,10,12,23,27,28,27,27,27,27
"94","1997|JN638330|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"95","1997|JN638340|Thailand",2,4,4,10,11,16,17,25,24,24,24,24
"96","1997|JQ317731|China",2,4,3,6,16,24,28,29,28,28,28,28
"97","1997|JQ317732|China",2,4,3,6,16,24,28,29,28,28,28,28
"98","1998|AB111064|Thailand",2,5,6,12,14,20,29,30,29,29,29,29
"99","1998|AY588272|Myanmar",1,1,2,4,6,9,12,13,13,13,13,13
"100","1998|AY588273|Myanmar",2,5,5,8,9,14,14,15,15,15,15,15
"101","1998|AY726554|Myanmar",2,5,5,8,9,14,14,15,15,15,15,15
"102","1998|AY726555|Myanmar",1,1,2,4,6,9,12,13,13,13,13,13
"103","1998|AY732396|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"104","1998|AY732434|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"105","1998|AY732454|Thailand",2,4,4,10,12,23,27,28,27,27,27,27
"106","1998|AY732472|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"107","1998|EF508198|China",2,5,5,8,9,14,14,15,15,15,15,15
"108","1998|JQ317710|China",2,5,5,8,10,21,26,26,25,25,25,25
"109","1998|JQ317711|China",1,1,1,2,3,5,9,10,10,10,10,10
"110","1998|JQ317712|China",1,1,1,2,3,5,9,10,10,10,10,10
"111","1998|JQ317713|China",1,1,1,2,3,6,30,31,30,30,30,30
"112","1998|KC861961|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"113","1998|KC861971|Vietnam",2,5,5,9,13,18,20,19,19,19,19,19
"114","1998|KY496856|China",2,5,6,12,15,26,32,33,32,32,32,32
"115","1999|AY618878|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"116","1999|AY620950|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"117","1999|AY732400|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"118","1999|AY732439|Thailand",3,9,11,17,20,29,35,36,35,35,35,35
"119","1999|AY732443|Thailand",2,4,3,7,22,31,37,37,36,36,36,36
"120","1999|AY732446|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"121","1999|AY732449|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"122","1999|AY732458|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"123","1999|AY732470|Thailand",2,4,4,11,23,32,38,38,37,37,37,37
"124","1999|EF508199|China",2,5,5,8,9,14,14,15,15,15,15,15
"125","1999|KC861947|Vietnam",2,5,5,9,13,18,20,19,19,19,19,19
"126","2000|AY618877|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"127","2000|AY618879|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"128","2000|AY618880|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"129","2000|AY620951|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"130","2000|AY620952|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"131","2000|AY732407|Thailand",2,4,3,7,22,31,37,37,36,36,36,36
"132","2000|AY732408|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"133","2000|AY732409|Thailand",2,5,6,12,14,19,23,39,38,38,38,38
"134","2000|AY732452|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"135","2000|AY732460|Thailand",2,5,5,8,10,22,39,40,39,39,39,39
"136","2000|AY732469|Thailand",3,9,11,17,20,29,36,41,40,40,40,40
"137","2000|DQ265078|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"138","2000|DQ265079|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"139","2000|DQ265080|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"140","2000|DQ265081|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"141","2000|DQ265082|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"142","2000|DQ265083|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"143","2000|DQ265084|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"144","2000|DQ265085|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"145","2000|DQ265086|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"146","2000|DQ265087|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"147","2000|DQ265088|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"148","2000|DQ265089|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"149","2000|DQ265090|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"150","2000|DQ265091|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"151","2000|DQ265092|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"152","2000|DQ265093|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"153","2000|DQ265094|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"154","2000|DQ265095|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"155","2000|FJ639669|Cambodia",5,13,14,19,24,33,40,42,41,41,41,41
"156","2000|GQ868637|Cambodia",2,6,15,20,25,34,41,43,42,42,42,42
"157","2000|JN638322|Thailand",3,9,11,17,20,29,36,41,40,40,40,40
"158","2000|JN638331|Thailand",2,5,6,12,14,19,22,22,43,43,43,43
"159","2001|AB111069|NA",2,6,15,20,26,35,42,44,44,44,44,44
"160","2001|AB111071|Cambodia",6,14,17,23,27,36,43,45,45,45,45,45
"161","2001|AB111072|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"162","2001|AY606062|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"163","2001|AY618210|Myanmar",1,1,2,4,6,9,12,13,13,13,13,13
"164","2001|AY618211|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"165","2001|AY620946|Myanmar",4,12,21,26,30,39,46,48,48,48,48,48
"166","2001|AY620947|Myanmar",4,12,21,26,30,40,47,49,49,49,49,49
"167","2001|AY620948|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"168","2001|AY620949|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"169","2001|AY620953|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"170","2001|AY708047|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"171","2001|AY713474|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"172","2001|AY713475|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"173","2001|AY713476|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"174","2001|AY726549|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"175","2001|AY726550|Myanmar",1,1,2,4,6,9,12,13,13,13,13,13
"176","2001|AY726551|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"177","2001|AY732389|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"178","2001|AY732392|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"179","2001|AY732401|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"180","2001|AY732419|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"181","2001|AY732428|Thailand",3,9,11,17,20,29,35,36,35,35,35,35
"182","2001|AY732438|Thailand",3,9,11,17,20,29,36,41,40,40,40,40
"183","2001|AY732451|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"184","2001|AY732462|Thailand",2,5,5,8,9,14,14,15,15,15,15,15
"185","2001|AY732464|Thailand",2,4,4,11,23,32,38,38,37,37,37,37
"186","2001|AY732467|Thailand",3,9,11,17,20,29,36,41,40,40,40,40
"187","2001|AY732479|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"188","2001|AY732482|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"189","2001|DQ264868|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"190","2001|DQ264869|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"191","2001|DQ264870|Myanmar",4,12,21,26,30,40,47,49,49,49,49,49
"192","2001|DQ264871|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"193","2001|DQ264872|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"194","2001|DQ264873|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"195","2001|DQ264874|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"196","2001|DQ264875|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"197","2001|DQ264876|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"198","2001|DQ264877|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"199","2001|DQ264878|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"200","2001|DQ264879|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"201","2001|DQ264880|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"202","2001|DQ264881|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"203","2001|DQ264883|Myanmar",4,12,21,26,30,40,47,49,49,49,49,49
"204","2001|DQ264884|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"205","2001|DQ264886|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"206","2001|DQ264887|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"207","2001|DQ264889|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"208","2001|DQ264891|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"209","2001|DQ264892|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"210","2001|DQ264893|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"211","2001|DQ264897|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"212","2001|DQ264898|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"213","2001|DQ264899|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"214","2001|DQ264900|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"215","2001|DQ264902|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"216","2001|DQ264904|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"217","2001|DQ264905|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"218","2001|DQ264907|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"219","2001|DQ264908|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"220","2001|DQ264909|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"221","2001|DQ264910|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"222","2001|DQ264911|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"223","2001|DQ264912|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"224","2001|DQ264913|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"225","2001|DQ264914|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"226","2001|DQ264915|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"227","2001|DQ264916|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"228","2001|DQ264917|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"229","2001|DQ264918|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"230","2001|DQ264921|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"231","2001|DQ264922|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"232","2001|DQ264923|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"233","2001|DQ264924|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"234","2001|DQ264925|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"235","2001|DQ264926|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"236","2001|DQ264927|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"237","2001|DQ264928|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"238","2001|DQ264929|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"239","2001|DQ264930|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"240","2001|DQ264931|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"241","2001|DQ264932|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"242","2001|DQ264933|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"243","2001|DQ264934|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"244","2001|DQ264935|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"245","2001|DQ264936|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"246","2001|DQ264937|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"247","2001|DQ264938|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"248","2001|DQ264939|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"249","2001|DQ264940|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"250","2001|DQ264941|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"251","2001|DQ264942|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"252","2001|DQ264944|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"253","2001|DQ264945|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"254","2001|DQ264946|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"255","2001|DQ264947|Myanmar",4,12,21,27,32,42,48,50,50,50,50,50
"256","2001|DQ264949|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"257","2001|DQ264950|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"258","2001|DQ264951|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"259","2001|DQ264952|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"260","2001|DQ264953|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"261","2001|DQ264954|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"262","2001|DQ264955|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"263","2001|DQ264956|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"264","2001|DQ264957|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"265","2001|DQ264958|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"266","2001|DQ264959|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"267","2001|DQ264960|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"268","2001|DQ264961|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"269","2001|DQ264964|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"270","2001|DQ264965|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"271","2001|DQ264966|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"272","2001|DQ264967|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"273","2001|DQ264989|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"274","2001|DQ264991|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"275","2001|DQ264996|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"276","2001|DQ264999|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"277","2001|DQ265002|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"278","2001|DQ265004|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"279","2001|DQ265005|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"280","2001|DQ265007|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"281","2001|DQ265010|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"282","2001|DQ265011|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"283","2001|DQ265013|Myanmar",1,2,8,15,18,27,33,34,33,33,33,33
"284","2001|DQ265057|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"285","2001|DQ265058|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"286","2001|DQ265060|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"287","2001|DQ265061|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"288","2001|DQ265062|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"289","2001|DQ265063|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"290","2001|DQ265064|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"291","2001|DQ265065|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"292","2001|DQ265066|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"293","2001|DQ265068|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"294","2001|DQ265069|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"295","2001|DQ265070|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"296","2001|DQ265071|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"297","2001|DQ265072|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"298","2001|DQ265073|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"299","2001|DQ265074|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"300","2001|DQ265075|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"301","2001|DQ265076|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"302","2001|DQ265077|Myanmar",4,11,9,16,19,28,34,35,34,34,34,34
"303","2001|DQ265098|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"304","2001|DQ265101|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"305","2001|DQ265102|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"306","2001|DQ265104|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"307","2001|DQ265105|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"308","2001|DQ265107|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"309","2001|DQ265109|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"310","2001|DQ265111|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"311","2001|DQ265115|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"312","2001|DQ265117|Myanmar",4,11,10,25,29,38,45,47,47,47,47,47
"313","2001|EF508200|China",7,16,19,24,28,37,44,46,46,46,46,46
"314","2001|EU117304|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"315","2001|EU117305|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"316","2001|EU117306|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"317","2001|EU117307|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"318","2001|EU117308|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"319","2001|EU117309|Thailand",4,12,21,26,30,41,49,51,51,51,51,51
"320","2001|EU117310|Thailand",4,12,21,26,30,41,49,51,51,51,51,51
"321","2001|EU117311|Thailand",4,12,21,26,30,41,49,51,51,51,51,51
"322","2001|EU117312|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"323","2001|FJ639670|Cambodia",5,13,14,19,24,33,40,42,41,41,41,41
"324","2001|FJ639671|Cambodia",2,6,15,20,25,34,41,43,42,42,42,42
"325","2001|FJ639672|Cambodia",5,13,14,19,24,33,40,42,41,41,41,41
"326","2001|FJ639673|Cambodia",2,6,16,28,33,43,50,52,52,52,52,52
"327","2001|FJ687426|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"328","2001|FJ687427|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"329","2001|FJ687428|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"330","2001|FJ687429|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"331","2001|FJ687430|Thailand",4,12,21,26,30,41,49,51,51,51,51,51
"332","2001|FJ687431|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"333","2001|FJ687432|Thailand",4,12,21,26,30,41,49,51,51,51,51,51
"334","2001|FJ687433|Thailand",4,12,21,26,30,41,49,51,51,51,51,51
"335","2001|FJ850068|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"336","2001|JN415525|Thailand",2,5,6,12,14,19,23,39,38,38,38,38
"337","2001|JN819423|Cambodia",2,6,15,20,25,34,41,43,42,42,42,42
"338","2001|JQ317752|China",7,16,19,24,28,37,44,46,46,46,46,46
"339","2001|JQ317753|China",7,16,19,24,28,37,44,46,46,46,46,46
