"","Isolate","level 1","level 2","level 3","level 4","level 5","level 6","level 7","level 8","level 9","level 10","level 11","level 12"
"1","1956|KF289073|India",1,1,1,1,1,1,1,1,1,1,1,1
"47","1985|AF425616|Colombia",2,6,16,12,11,11,11,11,11,11,11,11
"48","1985|AF425620|Cote_dIvoire",3,7,11,8,7,7,7,7,7,7,7,7
"49","1985|D00505|Aruba",3,9,18,13,12,12,12,12,12,12,12,12
"50","1985|GQ868601|Virgin_Islands",4,11,19,17,19,19,18,18,18,18,18,18
"51","1986|AF425639|Trinidad_and_Tobago",2,6,16,12,11,11,11,11,11,11,11,11
"52","1986|DQ341191|Mexico",2,6,16,12,11,11,11,11,11,11,11,11
"53","1986|FJ562106|Puerto_Rico",2,6,17,15,17,17,17,17,17,17,17,17
"54","1986|HQ026760|Brazil",5,14,20,18,20,20,19,19,19,19,19,19
"55","1986|HQ603916|Brazil",5,14,20,18,20,20,19,19,19,19,19,19
"56","1986|JN122280|Brazil",5,14,20,18,20,20,19,19,19,19,19,19
"57","1987|FJ410190|Puerto_Rico",6,16,22,19,21,21,20,20,20,20,20,20
"58","1987|FJ478458|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"59","1988|AF425610|Angola",2,6,16,12,11,11,11,11,11,11,11,11
"60","1988|KF672761|Brazil",5,14,20,18,20,20,19,19,19,19,19,19
"61","1989|AF226687|French_Guiana",2,6,17,16,24,23,22,22,22,22,22,22
"62","1989|AY630408|French_Polynesia",2,6,17,16,25,24,23,23,23,23,23,23
"63","1989|KF672762|Brazil",5,14,20,18,20,20,19,19,19,19,19,19
"64","1990|AF226685|Brazil",5,14,20,18,20,20,19,19,19,19,19,19
"65","1990|AF425623|Mexico",2,6,16,12,11,11,11,11,11,11,11,11
"66","1991|AF425626|Peru",6,16,23,23,26,25,24,24,24,24,24,24
"67","1991|KF672791|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"68","1992|FJ410186|Puerto_Rico",2,6,17,15,18,27,26,26,26,26,26,26
"69","1992|FJ410187|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"70","1992|FJ547087|Puerto_Rico",2,6,17,15,17,17,17,17,17,17,17,17
"71","1993|AY153755|Costa_Rica",2,6,16,12,11,11,11,11,11,11,11,11
"72","1993|AY762084|Singapore",1,2,6,26,29,28,27,27,27,27,27,27
"73","1993|DQ285562|Comoros",1,2,7,27,30,29,28,28,28,28,28,28
"74","1993|FJ410183|Puerto_Rico",6,16,22,20,31,30,29,29,29,29,29,29
"75","1993|FJ410184|Puerto_Rico",6,16,23,23,26,25,24,24,24,24,24,24
"76","1993|FJ410185|Puerto_Rico",6,16,22,19,21,21,20,20,20,20,20,20
"77","1993|FJ562105|Puerto_Rico",2,6,17,16,25,24,23,23,23,23,23,23
"78","1993|JN819417|El_Salvador",2,6,16,12,11,11,11,11,11,11,11,11
"79","1994|AF425636|Venezuela",7,18,27,29,32,31,30,30,30,30,30,30
"80","1994|AF425637|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"81","1994|AM746218|Saudi_Arabia",1,2,7,28,35,32,31,31,31,31,31,31
"82","1994|AM746219|Saudi_Arabia",1,2,7,28,35,32,31,31,31,31,31,31
"83","1994|AM746220|Saudi_Arabia",1,2,7,28,35,32,31,31,31,31,31,31
"84","1994|DQ341192|Mexico",2,6,16,12,11,11,11,11,11,11,11,11
"85","1994|FJ410175|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"86","1994|FJ410179|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"87","1994|HM450079|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"88","1995|AF425632|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"89","1995|AF425633|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"90","1995|AF425635|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"91","1995|AF425638|Venezuela",7,18,27,29,32,31,30,30,30,30,30,30
"92","1995|DQ341193|Mexico",2,6,16,12,11,11,11,11,11,11,11,11
"93","1995|DQ341194|Mexico",2,6,16,12,11,11,11,11,11,11,11,11
"94","1995|FJ205874|USA",2,6,17,16,25,24,23,23,23,23,23,23
"95","1995|FJ205875|USA",6,16,23,23,26,25,24,24,24,24,24,24
"96","1995|FJ390374|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"97","1995|FJ410174|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"98","1995|FJ410180|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"99","1995|FJ410181|Puerto_Rico",6,16,22,19,22,33,32,32,32,32,32,32
"100","1995|FJ547086|Puerto_Rico",2,6,17,15,17,18,33,33,33,33,33,33
"101","1995|JN379486|Barbados",6,16,23,23,27,34,34,34,34,34,34,34
"102","1995|KF955439|Puerto_Rico",6,16,22,19,22,33,32,32,32,32,32,32
"103","1996|AF425617|Colombia",2,6,16,12,11,11,11,11,11,11,11,11
"104","1996|AY589692|Myanmar",3,8,15,31,36,35,35,35,35,35,35,35
"105","1996|AY722802|Myanmar",3,8,15,31,36,35,35,35,35,35,35,35
"106","1996|FJ410182|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"107","1996|FJ410188|Puerto_Rico",2,6,16,12,11,11,11,11,11,11,11,11
"108","1996|FJ410189|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"109","1996|FJ478457|Puerto_Rico",2,6,16,12,11,11,11,11,11,11,11,11
"110","1996|HM450080|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"111","1996|JX669467|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"112","1996|KF921911|Puerto_Rico",6,16,22,19,22,33,32,32,32,32,32,32
"113","1997|AF311956|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"114","1997|AF311957|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"115","1997|AF311958|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"116","1997|AF425614|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"117","1997|AF425634|Venezuela",7,18,27,29,33,36,36,36,36,36,36,36
"118","1997|FJ639735|Venezuela",5,14,21,33,37,38,38,39,37,37,37,37
"119","1997|GU056029|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"120","1997|GU056030|Venezuela",8,21,31,38,42,40,40,41,39,39,39,39
"121","1997|HM450081|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"122","1997|HM450082|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"123","1997|JX669468|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"124","1997|JX669469|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"125","1997|KF672769|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"126","1997|KF672770|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"127","1997|KF672771|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"128","1997|KF672772|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"129","1997|KF672773|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"130","1999|AF298807|Cote_dIvoire",3,7,13,40,43,41,41,42,40,40,40,40
"131","1998|AY600860|Myanmar",3,8,15,32,44,42,42,43,41,41,41,41
"132","1998|AY722803|Myanmar",3,8,15,32,44,42,42,43,41,41,41,41
"133","1998|EU482567|Puerto_Rico",6,16,22,21,45,43,43,44,42,42,42,42
"134","1998|EU482592|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"135","1998|FJ205872|USA",6,17,24,22,23,22,21,21,21,21,21,21
"136","1998|FJ205873|USA",6,17,24,22,23,22,21,21,21,21,21,21
"137","1998|FJ390378|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"138","1998|FJ390379|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"139","1998|FJ390380|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"140","1998|FJ410173|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"141","1998|FJ639740|Venezuela",7,18,27,29,33,36,37,45,43,43,43,43
"142","1998|FJ639741|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"143","1998|GQ868559|Colombia",7,18,27,29,34,44,44,46,44,44,44,44
"144","1998|GQ868560|Colombia",7,18,27,29,34,45,45,47,45,45,45,45
"145","1998|GU056031|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"146","1998|GU056032|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"147","1998|GU056033|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"148","1998|JQ581648|Colombia",7,18,27,29,34,44,44,46,44,44,44,44
"149","1998|JQ581649|Colombia",7,18,27,29,34,44,44,46,44,44,44,44
"150","1998|JX669470|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"151","1998|KC812277|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"152","1998|KF672774|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"153","1998|KF672775|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"154","1998|KF672776|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"155","1998|KF672777|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"156","1998|KF672778|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"157","1998|KF672779|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"158","1998|KF955437|Puerto_Rico",6,17,24,22,23,22,21,21,21,21,21,21
"159","1998|KF955438|Puerto_Rico",6,16,22,21,45,43,43,44,42,42,42,42
"160","1998|KJ189302|Colombia",7,18,27,29,33,36,36,37,46,46,46,46
"161","1998|KJ189303|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"162","1999|AB111065|Paraguay",6,17,25,42,47,47,47,49,48,48,48,48
"163","1999|AY277652|Argentina",6,17,25,43,49,48,48,50,49,49,49,49
"164","1999|AY277653|Argentina",6,17,25,43,49,48,48,50,49,49,49,49
"165","1999|AY277664|Argentina",6,17,25,44,50,49,49,51,50,50,50,50
"166","1999|FJ639743|Venezuela",7,18,27,29,33,36,36,38,51,51,51,51
"167","1999|GQ868561|Colombia",7,18,27,29,33,36,36,37,46,46,46,46
"168","1999|HM450083|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"169","1999|JN379487|Barbados",5,14,20,18,20,20,19,19,19,19,19,19
"170","1999|JQ581650|Colombia",7,18,27,29,33,36,36,37,46,46,46,46
"171","1999|JX669471|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"172","1999|KF672780|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"173","1999|KF672781|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"174","1999|KF672792|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"175","2000|AF514876|Argentina",5,15,26,25,28,26,25,25,25,25,25,25
"176","2000|AF514878|Paraguay",6,17,25,42,48,50,50,52,52,52,52,52
"177","2000|AF514883|Paraguay",5,15,26,25,28,26,25,25,25,25,25,25
"178","2000|AF514885|Argentina",5,15,26,25,28,26,25,25,25,25,25,25
"179","2000|AF514889|Argentina",6,17,25,44,51,51,51,53,53,53,53,53
"180","2000|AY206457|Argentina",6,17,25,44,51,51,51,53,53,53,53,53
"181","2000|AY277654|Argentina",6,17,25,42,48,50,50,52,52,52,52,52
"182","2000|AY277655|Argentina",6,17,25,42,48,50,50,52,52,52,52,52
"183","2000|AY277656|Argentina",6,17,25,42,48,50,50,52,52,52,52,52
"184","2000|AY277657|Argentina",5,15,26,25,28,26,25,25,25,25,25,25
"185","2000|AY277658|Argentina",5,15,26,25,28,26,25,25,25,25,25,25
"186","2000|AY277659|Argentina",6,17,25,42,48,50,50,52,52,52,52,52
"187","2000|AY277660|Argentina",6,17,25,42,48,50,50,52,52,52,52,52
"188","2000|AY277661|Argentina",6,17,25,42,48,50,50,52,52,52,52,52
"189","2000|AY277662|Argentina",6,17,25,44,51,51,51,53,53,53,53,53
"190","2000|AY277663|Argentina",6,17,25,44,52,52,52,54,54,54,54,54
"191","2000|AY277665|Argentina",5,15,26,25,28,26,25,25,25,25,25,25
"192","2000|AY277666|Argentina",6,17,25,44,51,51,51,53,53,53,53,53
"193","2000|FJ850070|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"194","2000|FJ850071|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"195","2000|GU131832|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"196","2000|GU131833|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"197","2000|HM450084|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"198","2000|HM450085|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"199","2000|HM450086|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"200","2000|HM450087|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"201","2000|JX669472|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"202","2000|KF672763|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"203","2000|KF672782|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"204","2000|KF672787|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"205","2000|KF955411|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"206","2001|AB519681|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"207","2001|AF513110|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"208","2001|FJ850073|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"209","2001|GU131834|Venezuela",7,18,27,29,33,36,36,36,36,36,36,36
"210","2001|GU131948|Colombia",7,18,27,29,33,37,53,55,55,55,55,55
"211","2001|HM450088|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"212","2001|HM450089|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"213","2001|HM450098|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"214","2001|HQ603917|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"215","2001|JN379470|Barbados",5,14,20,18,20,20,19,19,19,19,19,19
"216","2001|JN379471|Barbados",5,14,20,18,20,20,19,19,19,19,19,19
"217","2001|JQ581651|Colombia",7,18,27,29,33,37,53,55,55,55,55,55
"218","2001|JX669473|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"219","2001|JX669474|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"220","2001|KF672764|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"221","2001|KF672788|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"222","2001|KF672789|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"223","2002|FJ850075|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"224","2002|HM450090|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"225","2002|HM450091|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"226","2002|HM450092|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"227","2002|HM450093|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"228","2002|HM450094|Brazil",2,6,16,12,11,11,11,11,11,11,11,11
"229","2002|HM450095|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"230","2002|HM450105|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"231","2002|JQ581652|Colombia",7,18,27,29,33,37,53,55,55,55,55,55
"232","2002|JX669475|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"233","2002|KF672783|Brazil",5,15,26,25,28,26,25,25,25,25,25,25
"234","2003|FJ850077|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"235","2003|HM450096|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"236","2003|JN379472|Barbados",6,16,23,24,53,53,54,56,56,56,56,56
"237","2004|DQ285554|Reunion",2,5,9,45,54,54,55,57,57,57,57,57
"238","2004|DQ285559|Reunion",2,5,9,45,54,54,55,57,57,57,57,57
"239","2004|EF654104|NA",1,3,32,46,55,55,56,58,58,58,58,58
"240","2004|EU596501|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"241","2004|FJ639794|Venezuela",7,19,37,49,57,57,58,60,60,60,60,60
"242","2004|FJ639796|Venezuela",7,19,37,49,58,59,61,61,61,61,61,61
"243","2004|FJ639797|Venezuela",7,19,37,49,57,58,64,63,62,62,62,62
"244","2004|FJ639802|Venezuela",7,19,37,49,57,57,59,64,63,63,63,63
"245","2004|FJ744701|Venezuela",7,19,37,49,57,58,64,63,62,62,62,62
"246","2004|FJ850081|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"247","2004|FJ898437|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"248","2004|GQ199867|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"249","2004|GQ199872|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"250","2004|GQ199873|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"251","2004|GQ199875|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"252","2004|GU131835|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"253","2004|GU131836|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"254","2004|HM450097|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"255","2004|JN379473|Aruba",2,6,16,12,11,11,11,11,11,11,11,11
"256","2004|JN415524|Sri_Lanka",10,27,39,51,59,61,65,65,64,64,64,64
"257","2004|JN819425|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"258","2004|JQ581632|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"259","2004|KF955412|Venezuela",5,14,20,18,20,20,19,19,19,19,19,19
"260","2004|KP406801|NA",1,3,32,46,55,55,56,58,58,58,58,58
"261","2005|EU081258|Singapore",2,5,10,53,60,62,66,66,65,65,65,65
"262","2005|EU482615|Nicaragua",9,24,43,55,61,63,67,67,66,66,66,66
"263","2005|EU482616|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"264","2005|EU482617|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"265","2005|EU482618|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"266","2005|EU482619|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"267","2005|EU596502|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"268","2005|EU596503|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"269","2005|EU596504|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"270","2005|FJ024423|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"271","2005|FJ024478|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"272","2005|FJ024480|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"273","2005|FJ024481|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"274","2005|FJ024482|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"275","2005|FJ024483|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"276","2005|FJ024484|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"277","2005|FJ024485|Nicaragua",9,24,43,55,61,63,67,67,66,66,66,66
"278","2005|FJ182002|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"279","2005|FJ410290|Nicaragua",9,23,36,57,63,64,68,68,67,67,67,67
"280","2005|FJ432720|Nicaragua",9,24,43,55,61,63,67,67,66,66,66,66
"281","2005|FJ432721|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"282","2005|FJ547089|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"283","2005|FJ639808|Venezuela",7,19,37,49,57,58,64,63,62,62,62,62
"284","2005|FJ639811|Venezuela",8,21,31,38,42,40,40,41,39,39,39,39
"285","2005|FJ639812|Venezuela",7,19,37,49,58,60,70,69,68,68,68,68
"286","2005|FJ639813|Venezuela",7,19,37,49,58,59,61,62,69,69,69,69
"287","2005|FJ639814|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"288","2005|FJ810415|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"289","2005|FJ850084|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"290","2005|FJ850113|Nicaragua",9,24,43,55,61,63,67,67,66,66,66,66
"291","2005|FJ850114|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"292","2005|FJ873814|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"293","2005|GQ868562|Colombia",7,19,37,50,65,66,72,70,70,70,70,70
"294","2005|GU131837|Venezuela",7,18,27,29,33,36,37,45,43,43,43,43
"295","2005|HM450099|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"296","2005|JF297581|India",1,1,2,60,66,67,73,71,71,71,71,71
"297","2005|JF297582|India",1,1,2,61,67,68,74,72,72,72,72,72
"298","2005|JN379474|Belize",9,23,35,48,56,56,57,59,59,59,59,59
"299","2005|JN819402|Nicaragua",9,24,43,55,61,63,67,67,66,66,66,66
"300","2005|JN819410|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"301","2005|JN819411|Venezuela",7,19,37,49,58,59,61,61,61,61,61,61
"302","2005|JN819412|Venezuela",7,19,37,49,58,60,70,69,68,68,68,68
"303","2005|JQ581613|Colombia",7,19,37,50,65,66,72,70,70,70,70,70
"304","2005|JQ922548|India",1,1,2,60,66,67,73,71,71,71,71,71
"305","2005|KF955403|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"306","2005|KF955407|Venezuela",7,19,37,49,58,59,61,61,61,61,61,61
"307","2005|KF955409|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"308","2005|KJ189304|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"309","2005|KU728183|Belize",9,24,43,55,61,63,67,67,66,66,66,66
"310","2005|KU728184|Belize",9,23,35,48,56,56,57,59,59,59,59,59
"311","2006|EU448413|India",2,5,10,53,60,62,66,66,65,65,65,65
"312","2006|EU448414|El_Salvador",9,23,36,57,63,64,68,68,67,67,67,67
"313","2006|EU482591|Puerto_Rico",8,21,30,37,41,39,39,40,38,38,38,38
"314","2006|FJ024479|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"315","2006|FJ547068|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"316","2006|FJ562104|Nicaragua",9,25,46,62,68,69,75,73,73,73,73,73
"317","2006|FJ639815|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"318","2006|FJ639818|Venezuela",7,19,37,50,65,66,72,70,70,70,70,70
"319","2006|FJ639819|Venezuela",8,21,31,39,71,70,76,74,74,74,74,74
"320","2006|FJ639820|Venezuela",7,19,37,49,58,59,62,75,75,75,75,75
"321","2006|FJ639821|Venezuela",8,21,31,38,42,40,40,41,39,39,39,39
"322","2006|FJ639823|Venezuela",7,19,37,49,58,60,70,69,68,68,68,68
"323","2006|FJ639824|Venezuela",7,19,37,49,58,59,61,61,61,61,61,61
"324","2006|FJ687475|India",1,3,32,46,55,55,56,58,58,58,58,58
"325","2006|FJ810419|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"326","2006|FJ850087|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"327","2006|GQ868498|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"328","2006|GQ868499|Mexico",9,23,36,57,64,72,78,77,77,77,77,77
"329","2006|GQ868563|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"330","2006|GQ868564|Colombia",7,18,29,66,75,75,80,79,79,79,79,79
"331","2006|GQ868565|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"332","2006|GU131838|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"333","2006|GU131839|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"334","2006|GU131949|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"335","2006|GU131956|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"336","2006|GU131957|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
